> FRESH supplier chain fetched 2026-07-27 via MCP broad role (temp_user lacks
> supplier-schema grant). Format: sku|supplier|container|qty|arrived|expected|recv.
LSGL14023SG|New clear glass supplier|Container 07 2026|300|0||2026-07-15
LSGL16015AR|Glass shade 2 Supplier||120|0|2026-05-15|2026-05-07
LSGL3L150AR|Glass shade 2 Supplier||120|0|2026-05-15|2026-05-07
LSGLCA16015AR|Glass shade 2 Supplier||120|0|2026-05-15|2026-05-07
LSGLFE150WH|Glass shade 2 Supplier||300|0|2026-05-15|2026-05-07
LSGLLN14020AR|Glass shade 2 Supplier||120|0|2026-05-15|2026-05-07
LSGLLN150AR|Glass shade 2 Supplier||120|0|2026-05-15|2026-05-07
LSGLSC1508CL|Glass shade 2 Supplier||120|0|2026-05-15|2026-05-07
LSGLST148AR|Glass shade 2 Supplier||120|0|2026-05-15|2026-05-07
LSGLST150AR|Glass shade 2 Supplier||120|0|2026-05-15|2026-05-07
LSGLST200AR|Glass shade 2 Supplier||120|0|2026-05-15|2026-05-07
LSGLULAR|New clear glass supplier|Container 04 2026|192|0||2026-06-04
LSGLULCL|New clear glass supplier|Container 04 2026|192|0||2026-06-04
LSGLWA170AR|Glass shade 2 Supplier||120|0|2026-05-15|2026-05-07
LSHM300HE|Hemp Supplier|DE Container 03|100|1||2025-08-15
LSHM400HE|Hemp Supplier|DE Container 03|300|1||2025-08-15
LSHQ150BM|Multi colour shade supplier|DE Container 02 2026|50|0|2026-07-10|2026-05-22
LSHQ150CB|Multi colour shade supplier|Container 10|50|0|2025-11-08|2025-09-19
LSHQ150WH|Multi colour shade supplier|Container 7|100|1||2025-07-29
LSHQ150YE|Multi colour shade supplier|Container 7|150|1||2025-07-29
LSHQ180BG|Brushed Curvy Supplier|DE Container 03|150|1||2025-09-09
LSHQ180BM|Brushed Curvy Supplier|Container 16|150|1|2025-12-31|2025-12-04
LSLC180BC|Brushed Curvy Supplier|DE Container 02 2026|100|0|2026-06-12|2026-05-22
LSLT360BM|Brushed Curvy Supplier|Container 16|100|1|2025-12-31|2025-12-04
LSMCP1CYMC|Mosaic Lighting Supplier|Container 10|24|1||2025-08-21
LSMCSPDRFL|Mosaic Lighting Supplier|Container 10|84|1||2025-08-21
LSMCSPSQMC|Mosaic Lighting Supplier|Container 14|60|0|2025-12-03|2025-10-23
LSMCSQWYBL|Mosaic Lighting Supplier|Container 8|150|1||2025-08-20
LSMCSQWYRE|Mosaic Lighting Supplier|Container 8|150|1||2025-08-20
LSMS320BG|Brushed Curvy Supplier|Container 8|200|1||2025-07-28
LSMS320BI|Multi colour curvy shade supplier|DE Container 03|200|1||2025-08-15
LSMS320BT|Multi colour curvy shade supplier|DE Container 03|100|1||2025-08-15
LSMS320CB|Multi colour curvy shade supplier|DE Container 03|100|1||2025-08-15
LSMS320GR|Multi colour curvy shade supplier|Container 8|600|1||2025-07-28
LSMS320GY|Multi colour curvy shade supplier|DE Container 03|400|1||2025-08-15
LSMS320OR|Multi colour curvy shade supplier|Container 8|300|1||2025-07-28
LSMS320RE|Multi colour curvy shade supplier|Container 8|300|1||2025-07-28
LSMS320WH|Multi colour curvy shade supplier|Container 8|300|1||2025-07-28
LSMS320YE|Multi colour curvy shade supplier|Container 8|250|1||2025-07-28
LSOL180BB|Brushed Curvy Supplier|Container 06 2026|100|0|2026-08-08|2026-07-15
LSOL180BC|Brushed Curvy Supplier|DE Container 03|100|1||2025-09-09
LSOL180BG|Brushed Curvy Supplier|DE Container 03|100|1||2025-09-09
LSOL180BM|Brushed Curvy Supplier|Container 10|450|1|2025-11-01|2025-09-22
LSOL180RR|Brushed Curvy Supplier|Container 06 2026|200|0|2026-08-08|2026-07-15
LSOL220YB|Electro plating Supplier|Container 9|350|1||2025-08-28
LSRD260AZ|Pipe lightning Supplier|Container 02 2026|0|0|2026-05-15|2026-03-31
LSRH260AZ|Pipe lightning Supplier|Container 08 2026|50|0||2026-07-23
LSRP260CO|Ceiling rose guy|Container 12|100|1||2025-08-25
LSRP260GB|Ceiling rose guy|DE Container 02 2026|50|0||2026-05-22
LSRP260SN|Ceiling rose guy|Container 01 2026|60|0|2026-01-30|2025-12-19
LSRP260YB|Ceiling rose guy|Container 14|50|1|2025-12-27|2025-10-15
LSSC310BI|Multi colour curvy shade supplier|Container 17|200|0||2026-01-26
LSSC310GR|Multi colour curvy shade supplier|Container 17|200|0||2026-01-26
LSSC310GY|Multi colour curvy shade supplier|Container 17|200|0||2026-01-26
LSSC310OR|Multi colour curvy shade supplier|Container 17|200|0||2026-01-26
LSSC310RE|Multi colour curvy shade supplier|Container 17|200|0||2026-01-26
LSSS300BC|Brushed Curvy Supplier|Container 8|300|1||2025-07-28
LSSS300BG|Brushed Curvy Supplier|DE Container 03|150|1||2025-09-09
LSSS300BI|Multi colour shade supplier|Container 7|100|1||2025-07-29
LSSS300BL|Multi colour shade supplier|DE Container 01 2026|100|0|2026-01-15|2025-12-17
LSSS300BM|Brushed Curvy Supplier|Container 8|300|1||2025-07-28
LSSS300BS|Brushed Curvy Supplier|Container 8|50|1||2025-07-28
LSSS300CO|Ceiling rose guy|DE Container 03|150|1||2025-08-18
LSSS300GR|Multi colour shade supplier|Container 7|100|1||2025-07-29
LSSS300GY|Multi colour shade supplier|Container 14|50|1|2025-12-04|2025-10-24
LSSS300OR|Multi colour shade supplier|Container 7|250|1||2025-07-29
LSSS300RE|Multi colour shade supplier|Container 7|100|1||2025-07-29
LSSS300RO|Ceiling rose guy|Container 9|100|1||2025-11-12
LSSS300SN|Ceiling rose guy|Container 14|100|1|2025-12-27|2025-10-15
LSSS300WH|Multi colour shade supplier|Container 7|100|1||2025-07-29
LSSS300YB|Ceiling rose guy|Container 12|50|1||2025-08-25
LSSS300YE|Multi colour shade supplier|Container 7|100|1||2025-07-29
LSTF400BM|Brushed Curvy Supplier|Container 16|75|1|2025-12-31|2025-12-04
LSTF400GR|Brushed Curvy Supplier|Container 16|100|1|2025-12-31|2025-12-04
LSTF400GY|Brushed Curvy Supplier|Container 16|150|1|2025-12-31|2025-12-04
LSTF400OR|Brushed Curvy Supplier|Container 16|50|1|2025-12-31|2025-12-04
LSTF400WH|Brushed Curvy Supplier|Container 8|50|1||2025-07-28
LSTF400YE|Brushed Curvy Supplier|Container 16|50|1|2025-12-31|2025-12-04
LSTF40BC|Brushed Curvy Supplier|Container 16|150|1|2025-12-31|2025-12-04
LSTF40BG|Brushed Curvy Supplier|Container 16|200|1|2025-12-31|2025-12-04
LSTF40BM|Brushed Curvy Supplier|Container 01 2026|100|0|2026-04-06|2026-03-10
LSTF40CO|Electro plating Supplier|Container 08 2026|400|0||2026-07-23
LSTF40GB|Electro plating Supplier|Container 08 2026|100|0||2026-07-23
LSTF40SN|Electro plating Supplier|Container 08 2026|100|0||2026-07-23
LSTF40YB|Electro plating Supplier|Container 13|153|0|2025-11-23|2025-10-24
LSUL220BB|Brushed Curvy Supplier|Container 8|80|1||2025-07-28
LSUL220BC|Brushed Curvy Supplier|Container 8|150|1||2025-07-28
LSUL220BM|Brushed Curvy Supplier|Container 16|400|1|2025-12-31|2025-12-04
LSUL220BS|Brushed Curvy Supplier|US Container 02|200|1|2025-12-19|2025-12-04
LSUL220RR|Brushed Curvy Supplier|Container 16|150|1|2025-12-31|2025-12-04
LSWD360BC|Brushed Curvy Supplier|Container 16|300|1|2025-12-31|2025-12-04
LSWD360BM|Brushed Curvy Supplier|Container 8|200|1||2025-07-28
LSWD360BS|Brushed Curvy Supplier|US Container 02|200|1|2025-12-19|2025-12-04
LSWE315BM|Multi colour curvy shade supplier|Container 01 2026|255|0|2026-04-10|2026-03-27
LSWE315OR|Multi colour curvy shade supplier|Container 01 2026|210|0|2026-04-10|2026-03-27
LSWE315WH|Multi colour curvy shade supplier|Container 01 2026|210|0|2026-04-10|2026-03-27
LSWE315YE|Multi colour curvy shade supplier|Container 01 2026|60|0|2026-04-10|2026-03-27
MBWHBSL|Warehouse needed things||200|0||2026-04-02
PC16FT250BA|Condieut pipelight accessoies|Container 01 2026|600|0||2026-03-19
PC16FT250CH|Condieut pipelight accessoies|Container 01 2026|600|0||2026-03-19
PC16FT250WH|Condieut pipelight accessoies|Container 01 2026|300|0||2026-03-19
PC16FT250YB|Condieut pipelight accessoies|Container 01 2026|75|0||2026-03-19
PC16FTNLCH|Condieut pipelight accessoies|Container 01 2026|600|0||2026-03-19
PC16FTNLWH|Condieut pipelight accessoies|Container 01 2026|300|0||2026-03-19
PC16FTNLYB|Condieut pipelight accessoies|Container 01 2026|300|0||2026-03-19
PCBIFF|Assembling lady 1|Container 17|1000|1|2026-01-23|2026-01-26
PCBISR|Condieut pipelight accessoies|Container 08 2026|100|0|2026-08-24|2026-07-23
PCBM20MX|Condieut pipelight accessoies|Container 16|528|1||2026-01-26
PCBS16T10CH|Condieut pipelight accessoies|Container 01 2026|400|0||2026-03-19
PCBS16T10WH|Condieut pipelight accessoies|Container 01 2026|200|0||2026-03-19
PCBS16T10YB|Condieut pipelight accessoies|Container 01 2026|200|0||2026-03-19
PCBSM2FBM|Condieut pipelight accessoies|Container 16|506|1||2026-01-26
PCBSM2FCH|Condieut pipelight accessoies|Container 16|504|1||2026-01-26
PCBSM2FSN|Condieut pipelight accessoies|Container 08 2026|500|0|2026-08-24|2026-07-23
PCBSM2FWH|Condieut pipelight accessoies|Container 16|512|1||2026-01-26
PCBSM2FYB|Condieut pipelight accessoies|Container 08 2026|500|0|2026-08-24|2026-07-23
PCCR6030CH|Condieut pipelight accessoies||314|0||2026-06-10
PCCR6030CO|Condieut pipelight accessoies||0|0||2026-06-10
PCCR6030SN|Condieut pipelight accessoies||118|0||2026-06-10
PCCR6030YB|Condieut pipelight accessoies||326|0||2026-06-10
PCDO20BM|Condieut pipelight accessoies|Container 16|419|1||2026-01-26
PCDO20WH|Condieut pipelight accessoies|Container 16|329|1||2026-01-26
PCDO20YB|Condieut pipelight accessoies|Container 16|510|1||2026-01-26
PCFL20BM|Condieut pipelight accessoies|Container 16|218|1||2026-01-26
PCFT1E27BM|Assembling lady 1|Container 01 2026|75|0|2026-04-11|2026-06-11
PCFT1E27BS|Assembling lady 1|Container 01 2026|76|0|2026-04-11|2026-06-11
PCFT200BA|Condieut pipelight accessoies|Container 08 2026|50|0|2026-08-24|2026-07-23
PCFT45E27BM|Assembling lady 1|Container 01 2026|210|0|2026-04-11|2026-06-11
PCFT45E27BS|Assembling lady 1|Container 01 2026|180|0|2026-04-11|2026-06-11
PCFT800BA|Condieut pipelight accessoies|Container 16|288|1||2026-01-26
PCFTLBM|Assembling lady 1||103|0||2026-06-18
PCFTLCF|Assembling lady 1||111|0||2026-06-18
PCFTLYB|Assembling lady 1||110|0||2026-06-18
PCGZ20NL|Condieut pipelight accessoies|Container 16|1165|1||2026-01-26
PCMT20BM|Condieut pipelight accessoies|Container 17|306|1||2026-01-26
PCMT20CH|Condieut pipelight accessoies|Container 08 2026|50|0|2026-08-24|2026-07-23
PCMT20CO|Condieut pipelight accessoies|Container 16|190|1||2026-01-26
PCMT20WH|Condieut pipelight accessoies|Container 08 2026|50|0|2026-08-24|2026-07-23
PCRNFF|Assembling lady 1|Container 17|1000|1|2026-01-23|2026-01-26
PCWH20BX|Condieut pipelight accessoies|Container 01 2026|268|0||2026-04-07
PCWPLH1BM|Assembling lady 1|Container 01 2026|120|0|2026-04-11|2026-06-11
PCWPLH35BM|Assembling lady 1|Container 01 2026|102|0|2026-04-11|2026-06-11
PHBAF1BMRBM|Multi colour curvy shade supplier|Container 13|200|0|2025-12-08|2025-10-24
PHBL2PBRBM|Assembling lady 1|mixed|200|1||2025-07-29
PHBR1BMRBM|Assembling Lady 2|DE Container 03|200|1||2025-09-09
PHCD1PBRBW|Multi colour curvy shade supplier|DE Container 03|100|1||2025-08-15
PHCH1BMRBM|Brushed Curvy Supplier|Container 8|500|1||2025-07-28
PHCH1FBRBM|Assembling Lady 2|Container 7|600|1|2025-07-13|2025-07-30
PHCH1PBRBC|Brushed Curvy Supplier|Container 8|100|1||2025-07-28
PHCH1PBRBS|Brushed Curvy Supplier|Container 04 2026|300|0|2026-07-05|2026-06-01
PHCH1PBRRR|Brushed Curvy Supplier|Container 08 2026|100|0|2026-08-28|2026-07-23
PHCH1PBRSBM|Assembling lady 1|Container 17|500|1|2026-01-23|2025-12-19
PHCH1PCTSBM|Assembling lady 1|Container 17|415|1|2026-01-23|2026-01-26
PHCH1PWRSGR|Multi colour curvy shade supplier|Container 02 2026|100|0|2026-04-30|2026-03-31
PHCH1PWRSRE|Multi colour curvy shade supplier|Container 15|100|0|2025-12-30|2025-12-05
PHCH1PWRSYE|Multi colour shade supplier|Container 14|200|1|2025-12-04|2025-10-24
PHCH2BMRBM|Brushed Curvy Supplier|Container 8|200|1||2025-07-28
PHCHPBRCO|Ceiling rose guy|Container 9|200|1||2025-11-12
PHCHPBRGB|Ceiling rose guy|Container 9|300|1||2025-11-12
PHCHPCRCH|Assembling lady 1|DE Container 03|500|1||2025-08-18
PHCHPCRSN|Assembling Lady 2|Container 14|150|1|2025-11-04|2025-10-15
PHCT1BMRBM|Multi colour curvy shade supplier|Container 15|200|0|2025-12-30|2025-12-01
PHDO1PBRBM|Multi colour curvy shade supplier|Container 15|200|0|2025-12-30|2025-12-01
PHFMHT2BRBM|Assembling Lady 2|Container 7|1000|1|2025-07-13|2025-07-30
PHFMSH2BRYB|Assembling Lady 2|Container 7|1500|1|2025-07-13|2025-07-30
PHFSH1PBRBM|Assembling Lady 2|DE Container 03|200|1||2025-08-15
PHHCF1BMRBM|Assembling lady 1|Container 05 2026|50|0||2026-07-06
PHHCF1BMRYB|Assembling lady 1|Container 05 2026|50|0||2026-07-06
PHHR2HETHE|Hemp Supplier|Container 02 2026|100|0|2026-05-16|2026-03-31
PHHRE2HETHE|AM packing|Container 13|200|1|2025-12-03|2025-10-24
PHHRE2HETX2HE|Hemp Supplier|Container 03 2026|200|0|2026-06-30|2026-05-07
PHHT1PBRBC|Assembling lady 1|Container 13|100|1|2025-12-03|2025-10-24
PHHT1PBRBM|Assembling lady 1|DE Container 03|300|1||2025-08-18
PHHT1PBRFG|Assembling lady 1|Container 8|150|1||2025-08-21
PHHT1PBRGD|Assembling lady 1|Container 05 2026|150|0||2026-07-06
PHHT1PBRRO|Assembling lady 1|Container 8|250|1||2025-08-21
PHHT2PBRBM|Assembling lady 1|DE Container 01 2026|100|0|2026-04-30|2026-03-18
PHIFT1PBRBM|Assembling lady 1|Container 17|100|1|2026-01-23|2026-01-26
PHIFT1PBRYB|Assembling lady 1|Container 17|100|1|2026-01-23|2026-01-26
PHIFT1PCRCH|Assembling lady 1|Container 17|100|1|2026-01-23|2026-01-26
PHMU1PBRCO|Assembling lady 1|Container 05 2026|300|0||2026-07-06
PHNW1RBC|Pipe lightning Supplier|Container 08 2026|200|0||2026-07-23
PHNW2RBC|Pipe lightning Supplier|Container 01 2026|120|1|2026-01-25|2026-02-02
PHOP1PBRBM|Brushed Curvy Supplier|Container 01 2026|100|0|2026-04-06|2026-03-10
PHRB1PBR40BM|Assembling lady 1|Container 05 2026|400|0||2026-07-06
PHRI1PBRBA|Assembling lady 1|Container 13|200|1|2025-12-03|2025-10-24
PHRI1PBRYB|Assembling lady 1|Container 10|300|1||2025-09-22
PHRY2PCRBM|Assembling Lady 2|Container 10|100|1||2025-08-25
PHSF1BMRBM|Cable Supplier|DE Container 01 2026|50|0|2026-01-25|2025-12-17
PHSF1BWTWH|Cable Supplier|Container 16|100|0|2026-02-05|2025-12-19
PHSF1GDRFG|Cable Supplier|Container 11|100|1||2025-07-29
PHSF1GDTYB|Cable Supplier|Container 11|200|1||2025-07-29
PHSF1GYTCH|Cable Supplier|Container 16|100|0|2026-02-05|2025-12-19
PHSF2BMRBY|Cable Supplier|Container 11|100|1||2025-07-29
PHSF2BMTBM|Assembling Lady 2|Container 7|500|1|2025-07-13|2025-07-30
PHSF2BRTCO|Cable Supplier|Container 7|300|1||2025-08-20
PHSF2GDTFG|Cable Supplier|Container 12|100|1|2026-01-01|2025-09-22
PHSH1HETYB|Hemp Supplier|DE Container 03|100|1||2025-08-15
PHSH1PBRBC|Pipe lightning Supplier|DE Container 02 2026|60|0|2026-06-20|2026-05-22
PHSH1PBRBM|Assembling lady 1|Container 8|500|1||2025-08-21
PHSH1PBRBS|Pipe lightning Supplier|DE Container 02 2026|60|0|2026-06-20|2026-05-22
PHSH1PBRCO|Assembling lady 1|DE Container 03|150|1||2025-08-18
PHSH1PBRRO|Assembling lady 1|Container 17|303|1|2026-01-23|2025-12-19
PHSH1PBRYB|Assembling Lady 2|Container 7|1800|1|2025-07-13|2025-07-30
PHSH1PCRCH|Assembling lady 1|DE Container 03|200|1||2025-08-18
PHSH2PBRYB|Assembling lady 1|DE Container 01 2026|200|0|2026-04-30|2026-03-18
PHSHF1PBRYB|Assembling Lady 2|DE Container 03|250|1||2025-08-15
PHTC1PGTGD|Assembling lady 1|Container 01 2026|100|0|2026-04-11|2026-06-11
PHTT1PWR1WH|Assembling lady 1|Container 8|250|1||2025-08-21
PHTT1PWRGY|Assembling lady 1|Container 8|100|1||2025-08-21
PHUH0.5HETBM|Hemp Supplier|DE Container 03|300|1||2025-08-15
PHUH1HETBM|Hemp Supplier|Container 03 2026|400|0|2026-06-30|2026-05-07
PHUH2HETBM|Hemp Supplier|Container 02 2026|300|0|2026-05-16|2026-03-31
PHUP1PCRCH|Assembling lady 1|Container 10|300|1||2025-09-22
PHUP1PWRWH|Assembling lady 1|mixed|200|1||2025-07-29
PL4HBC|Pipe lightning Supplier|Container 02 2026|0|0|2026-05-15|2026-03-31
PL4HBM|Pipe lightning Supplier|Container 08 2026|100|0||2026-07-23
PL4HRR|Pipe lightning Supplier|Container 02 2026|0|0|2026-05-15|2026-03-31
PLDMBM|Pipe lightning Supplier|DE Container 03|50|0||2025-08-18
PLHABM|Pipe lightning Supplier|Container 01 2026|50|1|2026-01-25|2026-02-02
PLHCBC|Pipe lightning Supplier|Container 01 2026|50|1|2026-01-25|2026-02-02
PLHNBC|Pipe lightning Supplier|Container 08 2026|100|0||2026-07-23
PLHNBM|Pipe lightning Supplier|Container 02 2026|0|0|2026-05-15|2026-03-31
PLMJBC|Pipe lightning Supplier|DE Container 03|50|0||2025-08-18
PLTABC|Pipe lightning Supplier|DE Container 02 2026|25|0|2026-06-20|2026-05-22
PLTTBC|Pipe lightning Supplier|Container 8|50|1||2025-07-29
PLTTBM|Pipe lightning Supplier|Container 01 2026|90|1|2026-01-25|2026-02-02
PLTTBS|Pipe lightning Supplier|Container 01 2026|40|1|2026-01-25|2026-02-02
PLTTDEBC|Pipe lightning Supplier|DE Container 03|50|0||2025-08-18
PLTTDERR|Pipe lightning Supplier|DE Container 03|50|0||2025-08-18
PLTTRR|Pipe lightning Supplier|Container 8|50|1||2025-07-29
PLTYBC|Pipe lightning Supplier|Container 08 2026|50|0||2026-07-23
PLWEBC|Pipe lightning Supplier|Container 01 2026|90|1|2026-01-25|2026-02-02
PLWEBM|Pipe lightning Supplier|Container 01 2026|105|1|2026-01-25|2026-02-02
PLWEFBM|Pipe lightning Supplier|Container 9|50|1||2025-08-22
PLWERR|Pipe lightning Supplier|Container 04 2026|60|0|2026-07-15|2026-06-01
PLWLBC|Pipe lightning Supplier|Container 08 2026|50|0||2026-07-23
PSDS2BPB|Assembling lady 1|Container 10|300|1||2025-09-22
PSDS2RBM|Assembling lady 1|Container 8|150|1||2025-08-21
PSDS4BMBBM|Assembling lady 1|Container 8|150|1||2025-08-21
PSDS4BMRBR|Assembling lady 1|Container 17|200|1|2026-01-23|2025-12-19
PSDS4BMRBU|Assembling lady 1|Container 13|80|1|2025-12-03|2025-10-24
PSDS4BMRBW|Assembling lady 1|Container 13|80|1|2025-12-03|2025-10-24
PSDS4BMRGD|Assembling lady 1|Container 13|80|1|2025-12-03|2025-10-24
PSDS4BMRGR|Assembling lady 1|mixed|40|1||2025-07-29
PSDS4BMRGY|Assembling lady 1|Container 17|50|1|2026-01-23|2025-12-19
PSDS4BMRRE|Assembling lady 1|Container 10|40|1||2025-09-22
PSDS4BMRRO|Assembling lady 1|mixed|40|1||2025-07-29
PSDS4BPB|Assembling lady 1|Container 13|100|1|2025-12-03|2025-10-24
PSHNUSOS4BRBM|Assembling Lady 2|US Container 02|100|1||2026-01-01
PSHUSOS4BRBM|Assembling Lady 2|US Container 02|300|1|2025-12-28|2025-12-01
PSHYOS4BRBM|Assembling Lady 2|Container 17|100|1|2026-03-12|2025-12-01
PSOS2BMBBM|Assembling lady 1|mixed|40|1||2025-07-29
PSOS2RROCO|Assembling lady 1|Container 17|50|1|2026-01-23|2025-12-19
PSOS4BMTHE|AM packing|Container 05 2026|200|0|2026-07-31|2026-07-06
PSOSUS4BMTHE|Assembling Lady 2|US Container 02|300|1|2025-12-28|2025-12-01
RD42|Condieut pipelight accessoies||1186|0||2026-06-10
RPM40WH|Assembling lady 1|Container 04 2026|2000|0|2026-07-16|2026-06-01
RPR44WH|Ceiling rose guy|DE Container 03|5000|1||2025-08-18
RWBM|Ceiling rose guy|DE Container 01 2026|1000|0|2026-01-15|2025-12-17
RWFG|Ceiling rose guy|DE Container 01 2026|500|0|2026-01-15|2025-12-17
SCRN70BA|Ceiling rose guy|Container 01 2026|500|0||2026-03-10
SCRN70BC|Pipe lightning Supplier|DE Container 03|500|0||2025-08-18
SCRN70BM|Ceiling rose guy|DE Container 03|1500|1||2025-08-18
SCRN70CO|Ceiling rose guy|DE Container 03|500|1||2025-08-18
SCRN70FG|Ceiling rose guy|Container 13|500|0|2026-01-10|2025-10-24
SCRN70YB|Ceiling rose guy|DE Container 03|500|1||2025-08-18
SCRNPLBM|Pipe lightning Supplier|Container 9|200|1||2025-08-22
SPCA70BM|Assembling lady 1||300|0||2026-06-18
SPCC360BM|Multi colour curvy shade supplier|Container 17|500|0||2026-01-26
SPCR60603CH|Condieut pipelight accessoies||108|0||2026-06-10
SPCR60603CO|Condieut pipelight accessoies|Container 01 2026|103|0||2026-03-19
SPCR60603SN|Condieut pipelight accessoies|Container 01 2026|105|0||2026-03-19
SPCR60603YB|Condieut pipelight accessoies|Container 01 2026|108|0||2026-03-19
SPCR60605CH|Condieut pipelight accessoies||108|0||2026-06-10
SPCR60605CO|Condieut pipelight accessoies|Container 01 2026|108|0||2026-03-19
SPCR60605SN|Condieut pipelight accessoies|Container 01 2026|108|0||2026-03-19
SPCR60605YB|Condieut pipelight accessoies|Container 01 2026|108|0||2026-03-19
SPHEBM|Assembling lady 1|Container 04 2026|1000|0|2026-07-16|2026-06-01
SPPGUK3PBM|New Lamp Holder|Container 04 2026|1000|0||2026-06-01
SPPGUK3PBR|New Lamp Holder|Container 04 2026|1600|0||2026-06-01
SPPGUK3PTR|New Lamp Holder|Container 04 2026|1000|0||2026-06-01
SPPGUK3PWH|New Lamp Holder|Container 04 2026|600|0||2026-06-01
SPSDP2BMY|Assembling lady 1|DE Container 03|500|1||2025-09-09
SPSDP2YB|Assembling lady 1|Container 17|1055|1|2026-01-23|2025-12-19
SPUPBM|Assembling Lady 2|Container 7|2000|1|2025-07-13|2025-07-30
SPWRBM|Assembling Lady 2|Container 7|1000|1|2025-07-13|2025-07-30
SWPLGD|Celing Rose Lady|Container 01 2026|100|0|2026-04-20|2026-03-10
SWPLSL|Celing Rose Lady|Container 01 2026|100|0|2026-04-20|2026-03-10
TPFHTWB12BM|Assembling lady 1|Container 01 2026|128|0|2026-04-11|2026-06-11
TPFHTWB12SN|Assembling lady 1|Container 01 2026|32|0|2026-04-11|2026-06-11
TPFHTWB12WH|Assembling lady 1|Container 01 2026|48|0|2026-04-11|2026-06-11
TPHTTF2PBRBM|AM packing|Container 13|150|1|2025-12-03|2025-10-24
TPHTTN2PBRBM|AM packing|Container 13|150|1|2025-12-03|2025-10-24
WCB2BC|Barrel Cage Supplier|Container 10|120|1||2025-09-22
WCB2BM|Barrel Cage Supplier|Container 7|100|1||2025-08-21
WCB5BM|Barrel Cage Supplier|Container 10|120|1||2025-09-22
WCBLBM|Different type of wire cage|DE Container 03|100|1||2025-08-15
WCBNBM|Different type of wire cage|Container 13|400|1|2025-12-04|2025-10-15
WCBSF120FG|Barrel Cage Supplier|Container 14|96|1||2025-12-30
WCBSF90FG|Barrel Cage Supplier|Container 14|96|1||2025-12-30
WCBTC100FG|Barrel Cage Supplier|Container 14|96|1||2025-12-30
WCBTC120FG|Barrel Cage Supplier|Container 14|96|1||2025-12-30
WCBTC140FG|Barrel Cage Supplier|Container 14|96|1||2025-12-30
WCCY1ROCH|Assembling Lady 2|Container 7|100|1|2025-07-13|2025-07-30
WCCY1ROGD|Assembling Lady 2|Container 7|100|1|2025-07-13|2025-07-30
WCCYSP160BM|Different type of wire cage|mixed|300|1|2026-01-25|2025-07-16
WCCYSP160GD|Different type of wire cage|mixed|300|1|2026-01-25|2025-07-16
WCCYSP160WH|Different type of wire cage|mixed|300|1|2026-01-25|2025-07-16
WCCYSP180BM|Different type of wire cage|mixed|300|1|2026-01-25|2025-07-16
WCCYSP180GD|Different type of wire cage|mixed|300|1|2026-01-25|2025-07-16
WCCYSP180WH|Different type of wire cage|mixed|300|1|2026-01-25|2025-07-16
WCDCBM|Different type of wire cage|mixed|832|1|2026-01-25|2025-07-16
WCDEBM|Different type of wire cage|mixed|200|1|2026-01-25|2025-07-16
WCDSBM|Different type of wire cage|Container 02 2026|300|0|2026-06-18|2026-03-31
WCDTBL|Different type of wire cage|Container 02 2026|100|0|2026-06-18|2026-03-31
WCDTGD|Different type of wire cage|DE Container 03|50|1||2025-08-15
WCDTRE|Different type of wire cage|mixed|100|1|2026-01-25|2025-07-16
WCDTWH|Different type of wire cage|mixed|150|1|2026-01-25|2025-07-16
WCFRBM|Hemp Supplier|Container 15|200|1|2026-01-08|2025-12-01
WCFRE3LNPYBM|Different type of wire cage|Container 03 2026|75|0|2026-07-01|2026-05-07
WCFRO3WDPYBM|Different type of wire cage|Container 02 2026|100|0|2026-06-18|2026-03-31
WCLNBM|Different type of wire cage|Container 13|300|1|2025-12-04|2025-10-15
WCRN3CBM|Hemp Supplier|Container 11|350|1||2025-10-15
WCSLBM|Different type of wire cage|mixed|33|1|2026-01-25|2025-07-16
WCSN1BM|Different type of wire cage|mixed|25|1|2026-01-25|2025-07-16
WCSN2BM|Different type of wire cage|Container 14|300|0|2026-01-05|2025-11-21
WCSPROBM|Different type of wire cage|mixed|34|1|2026-01-25|2025-07-16
WCVCBM|Different type of wire cage|DE Container 03|300|1||2025-08-15
WCWDBM|Different type of wire cage|Container 9|300|1||2025-08-21
WCWODSBM|AM packing|Container 17|100|0|2026-03-19|2025-12-19
WLFS220BM|Assembling Lady 2|Container 7|200|1|2025-07-13|2025-07-30
WLFS220YBG|Assembling Lady 2|Container 04 2026|50|0|2026-07-15|2026-06-01
WLWOFTWO|Assembling lady 1|Container 17|0|1|2026-01-23|2026-01-26
WLWOHTBM|Assembling lady 1|Container 17|96|1|2026-01-23|2026-01-26
WS1SHWHBM|Assembling lady 1|Container 01 2026|100|0|2026-04-11|2026-06-11
WS2HTBMYB|Assembling lady 1|Container 17|100|1|2026-01-23|2026-01-26
WSACY195BG|Assembling lady 1|Container 17|90|1|2026-01-23|2026-01-26
WSAFT200BG|Assembling lady 1|Container 17|73|1|2026-01-23|2026-01-26
WSAHQS150BG|Assembling lady 1|Container 17|100|1|2026-01-23|2026-01-26
WSAT105YB|Assembling lady 1|Container 17|139|1|2026-01-23|2026-01-28
WSBWBC|Pipe lightning Supplier|Container 7|50|1||2025-08-20
WSCH135BM|Assembling lady 1|DE Container 03|200|1||2025-08-18
WSCH135WH|Assembling lady 1|Container 08 2026|60|0|2026-08-23|2026-07-23
